,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,Gender,HourlyRate,JobLevel,MaritalStatus,MonthlyIncome,MonthlyRate,Over18,PercentSalaryHike,RelationshipSatisfaction,StandardHours,StockOptionLevel,TrainingTimesLastYear,JobRole,PerformanceRating,YearsInCurrentRole,YearsWithCurrManager,TotalWorkingYears,YearsAtCompany,YearsSinceLastPromotion,Attrition,JobSatisfaction,EnvironmentSatisfaction,JobInvolvement,WorkLifeBalance,OverTime,NumCompaniesWorked
729,35,Travel_Rarely,583,Research & Development,25,4,Medical,1,1014,Female,57,3,Divorced,10388,6975,Y,11,3,80,1,3,Healthcare Representative,3,10,1,2.833213344056216,2.833213344056216,2.3978952727983707,No,3,3,3,2,Yes,1
730,30,Travel_Rarely,153,Research & Development,8,2,Life Sciences,1,1015,Female,73,3,Married,11416,17802,Y,12,3,80,3,4,Research Director,3,7,7,2.302585092994046,2.1972245773362196,0.6931471805599453,No,1,2,4,2,Yes,0
731,20,Travel_Rarely,1097,Research & Development,11,3,Medical,1,1016,Female,98,1,Single,2600,18275,Y,15,1,80,0,2,Research Scientist,3,0,0,0.6931471805599453,0.6931471805599453,0.0,Yes,1,4,2,3,Yes,1
732,30,Travel_Frequently,109,Research & Development,5,3,Medical,1,1017,Female,60,1,Single,2422,25725,Y,17,1,80,0,3,Laboratory Technician,3,2,2,1.6094379124341003,1.3862943611198906,0.6931471805599453,Yes,2,2,3,3,No,0
733,26,Travel_Rarely,1066,Research & Development,2,2,Medical,1,1018,Male,32,2,Married,5472,3334,Y,12,2,80,0,2,Manufacturing Director,3,7,3,2.1972245773362196,2.1972245773362196,0.6931471805599453,No,4,4,4,3,No,1
734,22,Travel_Rarely,217,Research & Development,8,1,Life Sciences,1,1019,Male,94,1,Married,2451,6881,Y,15,1,80,1,3,Laboratory Technician,3,3,1,1.6094379124341003,1.6094379124341003,0.6931471805599453,No,1,2,1,2,No,1
735,48,Travel_Rarely,277,Research & Development,6,3,Life Sciences,1,1022,Male,97,2,Single,4240,13119,Y,13,4,80,0,0,Healthcare Representative,3,2,2,2.995732273553991,1.0986122886681096,1.0986122886681096,No,3,1,2,3,No,2
736,48,Travel_Rarely,1355,Research & Development,4,4,Life Sciences,1,1024,Male,78,3,Single,10999,22245,Y,14,2,80,0,3,Healthcare Representative,3,11,8,3.332204510175204,2.772588722239781,1.6094379124341003,No,3,3,2,3,No,7
737,41,Travel_Rarely,549,Research & Development,7,2,Medical,1,1025,Female,42,2,Single,5003,23371,Y,14,2,80,0,6,Manufacturing Director,3,2,1,2.1972245773362196,1.0986122886681096,1.0986122886681096,No,3,4,3,3,No,6
738,39,Travel_Rarely,466,Research & Development,1,1,Life Sciences,1,1026,Female,65,4,Married,12742,7060,Y,16,3,80,1,3,Manufacturing Director,3,6,8,3.091042453358316,3.091042453358316,2.4849066497880004,No,4,4,2,3,No,1
739,27,Travel_Rarely,1055,Research & Development,2,4,Life Sciences,1,1027,Female,47,2,Married,4227,4658,Y,18,2,80,1,2,Manufacturing Director,3,2,2,1.6094379124341003,1.3862943611198906,1.0986122886681096,No,4,1,3,3,No,0
741,42,Travel_Rarely,265,Sales,5,2,Marketing,1,1029,Male,90,5,Married,18303,7770,Y,13,2,80,0,3,Manager,3,0,0,3.091042453358316,0.6931471805599453,0.0,No,3,4,3,4,No,6
742,50,Travel_Rarely,804,Research & Development,9,3,Life Sciences,1,1030,Male,64,1,Married,2380,20165,Y,18,2,80,0,5,Laboratory Technician,3,0,0,2.1972245773362196,0.6931471805599453,0.0,No,4,1,3,3,No,4
743,59,Travel_Rarely,715,Research & Development,2,3,Life Sciences,1,1032,Female,69,4,Single,13726,21829,Y,13,1,80,0,4,Manufacturing Director,3,3,3,3.4339872044851463,1.791759469228055,1.6094379124341003,No,4,3,2,3,Yes,3
744,37,Travel_Rarely,1141,Research & Development,11,2,Medical,1,1033,Female,61,2,Married,4777,14382,Y,15,1,80,0,2,Healthcare Representative,3,0,0,2.772588722239781,0.6931471805599453,0.0,Yes,2,1,1,1,No,5
745,55,Travel_Frequently,135,Research & Development,18,4,Medical,1,1034,Male,62,2,Married,6385,12992,Y,14,4,80,2,3,Healthcare Representative,3,7,7,2.8903717578961645,2.1972245773362196,1.9459101490553132,No,2,3,3,3,Yes,3
747,38,Travel_Rarely,1035,Sales,3,4,Life Sciences,1,1036,Male,42,2,Single,6861,4981,Y,12,3,80,0,1,Sales Executive,3,0,0,2.995732273553991,0.6931471805599453,0.0,No,4,2,3,3,Yes,8
748,26,Non-Travel,265,Sales,29,2,Medical,1,1037,Male,79,2,Single,4969,21813,Y,18,4,80,0,6,Sales Executive,3,2,2,2.0794415416798357,1.0986122886681096,1.0986122886681096,Yes,1,2,1,3,No,8
749,52,Travel_Rarely,266,Sales,2,1,Marketing,1,1038,Female,57,5,Married,19845,25846,Y,15,4,80,1,3,Manager,3,14,9,3.5263605246161616,3.4965075614664802,1.9459101490553132,Yes,4,1,1,3,No,1
750,44,Travel_Rarely,1448,Sales,28,3,Medical,1,1039,Female,53,4,Married,13320,11737,Y,18,3,80,1,2,Sales Executive,3,11,11,3.1780538303479458,2.5649493574615367,2.4849066497880004,No,4,4,4,3,Yes,3
751,50,Non-Travel,145,Sales,1,3,Life Sciences,1,1040,Female,95,2,Married,6347,24920,Y,12,1,80,1,3,Sales Executive,3,7,13,2.995732273553991,2.9444389791664403,0.0,No,3,4,3,3,No,0
752,36,Travel_Rarely,885,Research & Development,16,4,Life Sciences,1,1042,Female,43,1,Single,2743,8269,Y,16,3,80,0,1,Laboratory Technician,3,13,14,2.9444389791664403,2.8903717578961645,2.772588722239781,Yes,1,3,4,3,No,1
753,39,Travel_Frequently,945,Research & Development,22,3,Medical,1,1043,Female,82,3,Single,10880,5083,Y,13,3,80,0,2,Manufacturing Director,3,6,8,3.091042453358316,3.091042453358316,1.0986122886681096,No,1,4,3,3,Yes,1
754,33,Non-Travel,1038,Sales,8,1,Life Sciences,1,1044,Female,88,1,Single,2342,21437,Y,19,4,80,0,2,Sales Representative,3,2,2,1.3862943611198906,1.0986122886681096,1.0986122886681096,No,4,2,2,2,No,0
755,45,Travel_Rarely,1234,Sales,11,2,Life Sciences,1,1045,Female,90,4,Married,17650,5404,Y,13,2,80,1,4,Manager,3,3,1,3.295836866004329,2.302585092994046,0.6931471805599453,No,4,4,3,4,No,3
756,32,Non-Travel,1109,Research & Development,29,4,Medical,1,1046,Female,69,1,Single,4025,11135,Y,12,2,80,0,2,Laboratory Technician,3,7,7,2.3978952727983707,2.1972245773362196,2.0794415416798357,No,3,4,3,3,No,9
757,34,Travel_Rarely,216,Sales,1,4,Marketing,1,1047,Male,75,2,Divorced,9725,12278,Y,11,4,80,1,2,Sales Executive,3,1,9,2.833213344056216,2.772588722239781,0.0,No,4,2,4,2,No,0
758,59,Travel_Rarely,1089,Sales,1,2,Technical Degree,1,1048,Male,66,3,Married,11904,11038,Y,14,3,80,1,1,Manager,3,4,4,2.70805020110221,1.9459101490553132,0.0,No,4,2,3,1,Yes,3
759,45,Travel_Rarely,788,Human Resources,24,4,Medical,1,1049,Male,36,1,Single,2177,8318,Y,16,1,80,0,3,Human Resources,3,3,4,1.9459101490553132,1.9459101490553132,0.0,No,2,2,3,3,No,1
760,53,Travel_Frequently,124,Sales,2,3,Marketing,1,1050,Female,38,3,Married,7525,23537,Y,12,1,80,1,2,Sales Executive,3,7,12,3.4339872044851463,2.772588722239781,1.9459101490553132,No,2,3,2,3,No,2
761,36,Travel_Rarely,660,Research & Development,15,3,Other,1,1052,Male,81,2,Divorced,4834,7858,Y,14,2,80,1,3,Laboratory Technician,3,0,0,2.302585092994046,0.6931471805599453,0.0,Yes,3,1,3,2,No,7
762,26,Travel_Frequently,342,Research & Development,2,3,Life Sciences,1,1053,Male,57,1,Married,2042,15346,Y,14,2,80,1,2,Research Scientist,3,2,2,1.9459101490553132,1.3862943611198906,0.6931471805599453,Yes,1,1,3,3,Yes,6
763,34,Travel_Rarely,1333,Sales,10,4,Life Sciences,1,1055,Female,87,1,Married,2220,18410,Y,19,4,80,1,2,Sales Representative,3,1,0,0.6931471805599453,0.6931471805599453,0.0,No,3,3,3,3,Yes,1
765,38,Travel_Frequently,1186,Research & Development,3,4,Other,1,1060,Male,44,1,Married,2821,2997,Y,16,1,80,1,2,Research Scientist,3,2,2,2.1972245773362196,1.0986122886681096,1.0986122886681096,No,3,3,3,3,No,3
766,50,Travel_Rarely,1464,Research & Development,2,4,Medical,1,1061,Male,62,5,Married,19237,12853,Y,11,4,80,1,2,Research Director,3,1,7,3.4011973816621555,2.1972245773362196,2.0794415416798357,No,3,2,3,2,Yes,2
767,37,Travel_Rarely,124,Research & Development,3,3,Other,1,1062,Female,35,2,Single,4107,13848,Y,15,1,80,0,3,Healthcare Representative,3,3,1,2.1972245773362196,1.6094379124341003,0.0,No,2,4,3,2,No,3
768,40,Travel_Rarely,300,Sales,26,3,Marketing,1,1066,Male,74,2,Married,8396,22217,Y,14,2,80,1,3,Sales Executive,3,7,5,2.1972245773362196,2.0794415416798357,2.0794415416798357,No,1,3,3,2,No,1
769,26,Travel_Frequently,921,Research & Development,1,1,Medical,1,1068,Female,66,1,Divorced,2007,25265,Y,13,3,80,2,5,Research Scientist,3,3,3,1.791759469228055,1.791759469228055,0.6931471805599453,No,3,1,2,3,No,1
770,46,Travel_Rarely,430,Research & Development,1,4,Medical,1,1069,Male,40,5,Divorced,19627,21445,Y,17,4,80,2,0,Research Director,3,2,2,3.1780538303479458,1.0986122886681096,1.0986122886681096,No,4,4,3,3,No,9
771,54,Travel_Rarely,1082,Sales,2,4,Life Sciences,1,1070,Female,41,3,Married,10686,8392,Y,11,2,80,1,4,Sales Executive,3,4,0,2.639057329615259,2.302585092994046,2.0794415416798357,No,3,3,2,3,No,6
772,56,Travel_Frequently,1240,Research & Development,9,3,Medical,1,1071,Female,63,1,Married,2942,12154,Y,19,2,80,1,4,Research Scientist,3,4,3,2.9444389791664403,1.791759469228055,0.0,No,3,1,3,3,No,2
773,36,Travel_Rarely,796,Research & Development,12,5,Medical,1,1073,Female,51,3,Single,8858,15669,Y,11,2,80,0,2,Manufacturing Director,3,8,8,2.772588722239781,2.70805020110221,2.0794415416798357,No,4,4,2,2,No,0
774,55,Non-Travel,444,Research & Development,2,1,Medical,1,1074,Male,40,4,Single,16756,17323,Y,15,2,80,0,3,Manager,3,7,2,3.4657359027997265,2.302585092994046,1.9459101490553132,No,1,3,2,4,No,7
775,43,Travel_Rarely,415,Sales,25,3,Medical,1,1076,Male,79,3,Divorced,10798,5268,Y,13,3,80,1,5,Sales Executive,3,0,0,2.9444389791664403,0.6931471805599453,0.0,No,4,3,2,3,No,5
776,20,Travel_Frequently,769,Sales,9,3,Marketing,1,1077,Female,54,1,Single,2323,17205,Y,14,2,80,0,3,Sales Representative,3,2,2,1.0986122886681096,1.0986122886681096,0.0,Yes,4,4,3,3,Yes,1
777,21,Travel_Rarely,1334,Research & Development,10,3,Life Sciences,1,1079,Female,36,1,Single,1416,17258,Y,13,1,80,0,6,Laboratory Technician,3,0,0,0.6931471805599453,0.6931471805599453,0.6931471805599453,Yes,1,3,2,2,No,1
779,51,Travel_Rarely,1323,Research & Development,4,4,Life Sciences,1,1081,Male,34,1,Married,2461,10332,Y,12,3,80,3,2,Research Scientist,3,0,7,2.9444389791664403,2.3978952727983707,1.0986122886681096,Yes,3,1,3,4,Yes,9
780,28,Non-Travel,1366,Research & Development,24,2,Technical Degree,1,1082,Male,72,3,Single,8722,12355,Y,12,1,80,0,2,Healthcare Representative,3,7,9,2.3978952727983707,2.3978952727983707,0.6931471805599453,Yes,1,2,2,2,No,1
781,26,Travel_Rarely,192,Research & Development,1,2,Medical,1,1083,Male,59,1,Married,3955,11141,Y,16,1,80,2,2,Laboratory Technician,3,3,3,1.9459101490553132,1.791759469228055,0.6931471805599453,No,1,1,2,3,No,1
782,30,Travel_Rarely,1176,Research & Development,20,3,Other,1,1084,Male,85,2,Married,9957,9096,Y,15,3,80,1,1,Manufacturing Director,3,2,2,2.0794415416798357,1.9459101490553132,0.0,No,1,3,3,2,No,0
783,41,Travel_Rarely,509,Research & Development,7,2,Technical Degree,1,1085,Female,43,1,Married,3376,18863,Y,13,3,80,0,3,Research Scientist,3,6,8,2.3978952727983707,2.3978952727983707,0.0,No,3,2,4,3,No,1
784,38,Travel_Rarely,330,Research & Development,17,1,Life Sciences,1,1088,Female,65,3,Married,8823,24608,Y,18,1,80,1,4,Healthcare Representative,3,9,9,3.044522437723423,2.995732273553991,0.6931471805599453,No,3,3,2,2,No,0
786,27,Non-Travel,1277,Research & Development,8,5,Life Sciences,1,1094,Male,87,1,Married,4621,5869,Y,19,4,80,3,4,Laboratory Technician,3,2,2,1.3862943611198906,1.3862943611198906,0.6931471805599453,No,3,1,1,3,No,1
787,55,Travel_Frequently,1091,Research & Development,2,1,Life Sciences,1,1096,Male,65,3,Married,10976,15813,Y,18,2,80,1,4,Manufacturing Director,3,2,2,3.1780538303479458,1.3862943611198906,0.6931471805599453,No,2,4,3,3,No,3
788,28,Travel_Rarely,857,Research & Development,10,3,Other,1,1097,Female,59,2,Single,3660,7909,Y,13,4,80,0,4,Research Scientist,3,7,7,2.3978952727983707,2.1972245773362196,0.6931471805599453,No,3,3,3,4,No,3
789,44,Travel_Rarely,1376,Human Resources,1,2,Medical,1,1098,Male,91,3,Married,10482,2326,Y,14,4,80,1,1,Human Resources,3,6,6,3.2188758248682006,3.044522437723423,1.3862943611198906,Yes,1,2,2,3,No,9
790,33,Travel_Rarely,654,Research & Development,5,3,Life Sciences,1,1099,Male,34,3,Divorced,7119,21214,Y,15,3,80,1,2,Healthcare Representative,3,2,2,2.302585092994046,1.3862943611198906,0.6931471805599453,No,4,4,2,3,No,4
793,28,Travel_Rarely,895,Research & Development,15,2,Life Sciences,1,1102,Male,50,1,Divorced,2207,22482,Y,16,4,80,1,5,Laboratory Technician,3,2,2,1.6094379124341003,1.6094379124341003,1.0986122886681096,No,3,1,3,2,No,1
794,34,Travel_Frequently,618,Research & Development,3,1,Life Sciences,1,1103,Male,45,2,Single,7756,22266,Y,17,3,80,0,1,Healthcare Representative,3,2,4,2.0794415416798357,1.9459101490553132,0.0,No,4,1,3,2,No,0
795,37,Travel_Rarely,309,Sales,10,4,Life Sciences,1,1105,Female,88,2,Divorced,6694,24223,Y,14,3,80,3,5,Sales Executive,3,0,0,2.1972245773362196,0.6931471805599453,0.0,No,4,4,2,3,Yes,2
796,25,Travel_Rarely,1219,Research & Development,4,1,Technical Degree,1,1106,Male,32,1,Married,3691,4605,Y,15,2,80,1,3,Laboratory Technician,3,7,6,2.0794415416798357,2.0794415416798357,1.791759469228055,Yes,4,4,3,4,Yes,1
799,42,Travel_Rarely,469,Research & Development,2,2,Medical,1,1109,Male,35,4,Married,17665,14399,Y,17,4,80,1,3,Manager,3,6,7,3.1780538303479458,3.1354942159291497,2.639057329615259,No,1,4,3,3,No,0
800,28,Travel_Frequently,1009,Research & Development,1,3,Medical,1,1111,Male,45,1,Divorced,2596,7160,Y,15,1,80,2,2,Laboratory Technician,3,0,0,0.6931471805599453,0.6931471805599453,0.0,Yes,2,1,2,3,No,1
801,50,Travel_Frequently,959,Sales,1,4,Other,1,1113,Male,81,2,Single,4728,17251,Y,14,4,80,0,4,Sales Executive,3,0,0,1.791759469228055,0.0,0.0,Yes,3,4,3,3,Yes,3
802,33,Travel_Frequently,970,Sales,7,3,Life Sciences,1,1114,Female,30,2,Married,4302,13401,Y,17,3,80,1,3,Sales Executive,3,2,2,1.6094379124341003,1.3862943611198906,0.0,No,2,4,3,3,No,0
803,34,Non-Travel,697,Research & Development,3,4,Life Sciences,1,1115,Male,40,1,Married,2979,22478,Y,17,4,80,3,2,Research Scientist,3,0,0,1.9459101490553132,0.0,0.0,No,4,3,2,3,No,3
805,45,Non-Travel,1050,Sales,9,4,Life Sciences,1,1117,Female,65,2,Married,5593,17970,Y,13,4,80,1,2,Sales Executive,3,10,12,2.772588722239781,2.772588722239781,1.6094379124341003,No,3,2,2,3,No,1
806,52,Travel_Rarely,994,Research & Development,7,4,Life Sciences,1,1118,Male,87,3,Single,10445,15322,Y,19,4,80,0,4,Healthcare Representative,3,6,0,2.9444389791664403,2.1972245773362196,1.6094379124341003,No,2,2,3,3,No,7
807,38,Travel_Rarely,770,Sales,10,4,Marketing,1,1119,Male,73,3,Divorced,8740,5569,Y,14,2,80,2,2,Sales Executive,3,7,7,2.302585092994046,2.1972245773362196,1.0986122886681096,No,3,3,2,3,Yes,0
809,28,Travel_Rarely,950,Research & Development,3,3,Medical,1,1121,Female,93,3,Divorced,7655,8039,Y,17,2,80,3,3,Manufacturing Director,3,7,7,2.3978952727983707,2.302585092994046,0.6931471805599453,No,2,4,3,2,No,0
810,46,Travel_Rarely,406,Sales,3,1,Marketing,1,1124,Male,52,4,Married,17465,15596,Y,12,4,80,1,3,Manager,3,9,9,3.1780538303479458,2.5649493574615367,1.6094379124341003,No,3,1,3,3,No,3
811,38,Travel_Rarely,130,Sales,2,2,Marketing,1,1125,Male,32,3,Single,7351,20619,Y,16,3,80,0,2,Sales Executive,3,0,0,2.3978952727983707,0.6931471805599453,0.0,No,2,4,3,3,No,7
812,43,Travel_Frequently,1082,Research & Development,27,3,Life Sciences,1,1126,Female,83,3,Married,10820,11535,Y,11,3,80,1,1,Manufacturing Director,3,7,1,2.9444389791664403,2.1972245773362196,0.0,No,1,3,3,3,No,8
813,39,Travel_Frequently,203,Research & Development,2,3,Life Sciences,1,1127,Male,84,4,Divorced,12169,13547,Y,11,4,80,3,4,Healthcare Representative,3,7,5,3.091042453358316,2.9444389791664403,2.4849066497880004,Yes,4,1,3,3,No,7
814,40,Travel_Rarely,1308,Research & Development,14,3,Medical,1,1128,Male,44,5,Single,19626,17544,Y,14,1,80,0,2,Research Director,3,7,9,3.091042453358316,3.044522437723423,1.6094379124341003,No,3,3,2,4,No,1
815,21,Travel_Rarely,984,Research & Development,1,1,Technical Degree,1,1131,Female,70,1,Single,2070,25326,Y,11,3,80,0,6,Research Scientist,3,2,2,1.0986122886681096,1.0986122886681096,1.0986122886681096,No,2,4,2,4,Yes,1
816,39,Non-Travel,439,Research & Development,9,3,Life Sciences,1,1132,Male,70,2,Single,6782,8770,Y,15,3,80,0,2,Laboratory Technician,3,4,3,2.302585092994046,1.791759469228055,0.0,No,2,3,3,2,No,9
818,31,Travel_Frequently,793,Sales,20,3,Life Sciences,1,1135,Male,67,1,Married,2791,21981,Y,12,1,80,1,4,Sales Representative,3,2,2,1.3862943611198906,1.0986122886681096,1.0986122886681096,No,4,3,4,3,No,0
819,28,Travel_Rarely,1451,Research & Development,2,1,Life Sciences,1,1136,Male,67,1,Married,3201,19911,Y,17,1,80,0,2,Research Scientist,3,3,4,1.9459101490553132,1.791759469228055,0.0,No,2,1,2,1,No,0
820,35,Travel_Frequently,1182,Sales,11,2,Marketing,1,1137,Male,54,2,Divorced,4968,18500,Y,11,4,80,1,3,Sales Executive,3,2,2,1.791759469228055,1.791759469228055,0.0,No,4,4,3,3,No,1
821,49,Travel_Rarely,174,Sales,8,4,Technical Degree,1,1138,Male,56,4,Married,13120,11879,Y,17,2,80,1,3,Sales Executive,3,8,3,3.1354942159291497,2.302585092994046,1.0986122886681096,No,2,4,2,3,No,6
822,34,Travel_Frequently,1003,Research & Development,2,2,Life Sciences,1,1140,Male,95,2,Single,4033,15834,Y,11,4,80,0,3,Manufacturing Director,3,2,2,1.791759469228055,1.3862943611198906,0.0,No,3,4,3,2,No,2
823,29,Travel_Frequently,490,Research & Development,10,3,Life Sciences,1,1143,Female,61,1,Divorced,3291,17940,Y,14,4,80,2,2,Research Scientist,3,5,1,2.1972245773362196,2.0794415416798357,0.6931471805599453,No,2,4,3,2,No,0
824,42,Travel_Rarely,188,Research & Development,29,3,Medical,1,1148,Male,56,2,Single,4272,9558,Y,19,1,80,0,3,Laboratory Technician,3,0,0,2.833213344056216,0.6931471805599453,0.0,No,4,2,1,3,No,4
825,29,Travel_Rarely,718,Research & Development,8,1,Medical,1,1150,Male,79,2,Married,5056,17689,Y,15,3,80,1,2,Manufacturing Director,3,7,2,2.3978952727983707,2.3978952727983707,0.6931471805599453,No,4,2,2,2,Yes,1
826,38,Travel_Rarely,433,Human Resources,1,3,Human Resources,1,1152,Male,37,1,Married,2844,6004,Y,13,4,80,1,2,Human Resources,3,6,0,2.0794415416798357,2.0794415416798357,1.791759469228055,No,3,3,4,4,No,1
827,28,Travel_Frequently,773,Research & Development,6,3,Life Sciences,1,1154,Male,39,1,Divorced,2703,22088,Y,14,4,80,1,2,Research Scientist,3,1,2,1.3862943611198906,1.3862943611198906,0.0,No,3,3,2,3,Yes,1
828,18,Non-Travel,247,Research & Development,8,1,Medical,1,1156,Male,80,1,Single,1904,13556,Y,12,4,80,0,0,Laboratory Technician,3,0,0,0.0,0.0,0.0,Yes,3,3,3,3,No,1
829,33,Travel_Rarely,603,Sales,9,4,Marketing,1,1157,Female,77,2,Single,8224,18385,Y,17,1,80,0,3,Sales Executive,3,2,3,1.9459101490553132,1.791759469228055,0.0,Yes,1,1,3,3,Yes,0
830,41,Travel_Rarely,167,Research & Development,12,4,Life Sciences,1,1158,Male,46,1,Married,4766,9051,Y,11,1,80,1,4,Laboratory Technician,3,0,0,1.9459101490553132,0.6931471805599453,0.0,No,4,2,3,3,Yes,3
831,31,Travel_Frequently,874,Research & Development,15,3,Medical,1,1160,Male,72,1,Married,2610,6233,Y,12,3,80,1,5,Laboratory Technician,3,2,2,1.0986122886681096,1.0986122886681096,1.0986122886681096,Yes,3,3,3,2,No,1
832,37,Travel_Rarely,367,Research & Development,25,2,Medical,1,1161,Female,52,2,Divorced,5731,17171,Y,13,3,80,2,2,Healthcare Representative,3,2,3,2.302585092994046,1.9459101490553132,0.6931471805599453,No,4,3,2,3,No,7
833,27,Travel_Rarely,199,Research & Development,6,3,Life Sciences,1,1162,Male,55,1,Married,2539,7950,Y,13,3,80,1,0,Research Scientist,3,2,2,1.6094379124341003,1.6094379124341003,1.0986122886681096,No,3,4,2,3,No,1
835,35,Travel_Rarely,528,Human Resources,8,4,Technical Degree,1,1164,Male,100,1,Single,4323,7108,Y,17,2,80,0,2,Human Resources,3,4,4,1.9459101490553132,1.791759469228055,0.6931471805599453,No,3,3,3,1,No,1
836,29,Travel_Rarely,408,Sales,23,1,Life Sciences,1,1165,Female,45,3,Married,7336,11162,Y,13,1,80,1,3,Sales Executive,3,8,10,2.4849066497880004,2.4849066497880004,1.3862943611198906,Yes,1,4,2,1,No,1
837,40,Travel_Frequently,593,Research & Development,9,4,Medical,1,1166,Female,88,3,Single,13499,13782,Y,17,3,80,0,3,Research Director,3,7,13,3.044522437723423,2.9444389791664403,1.0986122886681096,No,3,2,3,2,No,9
838,42,Travel_Frequently,481,Sales,12,3,Life Sciences,1,1167,Male,44,4,Single,13758,2447,Y,12,2,80,0,2,Sales Executive,3,9,14,3.1354942159291497,3.091042453358316,2.639057329615259,Yes,1,3,3,2,Yes,0
839,42,Travel_Rarely,647,Sales,4,4,Marketing,1,1171,Male,45,2,Single,5155,2253,Y,13,4,80,0,3,Sales Executive,3,4,5,2.302585092994046,1.9459101490553132,0.6931471805599453,No,1,2,3,4,No,7
840,35,Travel_Rarely,982,Research & Development,1,4,Medical,1,1172,Male,58,1,Married,2258,16340,Y,12,2,80,1,2,Laboratory Technician,3,0,7,2.3978952727983707,2.1972245773362196,0.6931471805599453,No,3,4,2,3,No,6
842,28,Travel_Rarely,1485,Research & Development,12,1,Life Sciences,1,1175,Female,79,1,Married,2515,22955,Y,11,4,80,0,4,Laboratory Technician,3,1,0,0.6931471805599453,0.6931471805599453,0.0,Yes,4,3,3,2,Yes,1
844,30,Travel_Rarely,852,Sales,10,3,Marketing,1,1179,Male,72,2,Married,6578,2706,Y,18,1,80,1,3,Sales Executive,3,3,4,2.3978952727983707,2.3978952727983707,0.6931471805599453,No,3,3,2,3,No,1
845,40,Travel_Frequently,902,Research & Development,26,2,Medical,1,1180,Female,92,2,Married,4422,21203,Y,13,4,80,1,3,Research Scientist,3,1,0,2.833213344056216,0.6931471805599453,0.0,No,4,3,2,1,Yes,3
846,35,Travel_Rarely,819,Research & Development,2,3,Life Sciences,1,1182,Male,44,3,Divorced,10274,19588,Y,18,2,80,1,2,Manufacturing Director,3,7,4,2.772588722239781,2.0794415416798357,1.9459101490553132,No,2,3,2,4,No,2
848,35,Travel_Frequently,636,Research & Development,4,4,Other,1,1185,Male,47,1,Married,2376,26537,Y,13,2,80,1,2,Laboratory Technician,3,2,2,1.0986122886681096,1.0986122886681096,1.0986122886681096,No,4,4,2,4,No,1
849,43,Travel_Rarely,1372,Sales,9,3,Marketing,1,1188,Female,85,2,Single,5346,9489,Y,13,2,80,0,2,Sales Executive,3,3,3,2.0794415416798357,1.6094379124341003,0.6931471805599453,Yes,3,1,1,2,No,8
850,32,Non-Travel,862,Sales,2,1,Life Sciences,1,1190,Female,76,1,Divorced,2827,14947,Y,12,3,80,3,3,Sales Representative,3,0,0,0.6931471805599453,0.6931471805599453,0.0,No,1,3,3,3,No,1
851,56,Travel_Rarely,718,Research & Development,4,4,Technical Degree,1,1191,Female,92,5,Divorced,19943,18575,Y,13,4,80,1,2,Manager,3,2,2,3.367295829986474,1.791759469228055,1.6094379124341003,No,1,4,3,3,No,4
852,29,Travel_Rarely,1401,Research & Development,6,1,Medical,1,1192,Female,54,1,Married,3131,26342,Y,13,1,80,1,5,Laboratory Technician,3,8,8,2.3978952727983707,2.3978952727983707,0.0,No,4,2,3,3,No,1
854,45,Travel_Rarely,1457,Research & Development,7,3,Medical,1,1195,Female,83,1,Married,4477,20100,Y,19,3,80,1,2,Research Scientist,3,2,2,2.0794415416798357,1.3862943611198906,0.0,No,3,1,3,2,Yes,4
855,37,Travel_Rarely,977,Research & Development,1,3,Life Sciences,1,1196,Female,56,2,Married,6474,9961,Y,13,2,80,1,2,Manufacturing Director,3,8,11,2.70805020110221,2.70805020110221,1.3862943611198906,No,4,4,2,2,No,1
856,20,Travel_Rarely,805,Research & Development,3,3,Life Sciences,1,1198,Male,87,1,Single,3033,12828,Y,12,1,80,0,2,Laboratory Technician,3,2,2,1.0986122886681096,1.0986122886681096,0.6931471805599453,No,3,1,2,2,No,1
857,44,Travel_Rarely,1097,Research & Development,10,4,Life Sciences,1,1200,Male,96,1,Single,2936,10826,Y,11,3,80,0,4,Research Scientist,3,4,2,1.9459101490553132,1.9459101490553132,0.0,Yes,3,3,3,3,Yes,1
858,53,Travel_Rarely,1223,Research & Development,7,2,Medical,1,1201,Female,50,5,Divorced,18606,18640,Y,18,2,80,1,6,Manager,3,7,7,3.295836866004329,2.0794415416798357,1.6094379124341003,No,3,4,3,3,No,3
859,29,Travel_Rarely,942,Research & Development,15,1,Life Sciences,1,1202,Female,69,1,Married,2168,26933,Y,18,1,80,1,2,Research Scientist,3,4,3,1.9459101490553132,1.791759469228055,0.6931471805599453,No,4,2,1,2,Yes,0
860,22,Travel_Frequently,1256,Research & Development,3,4,Life Sciences,1,1203,Male,48,1,Married,2853,4223,Y,11,2,80,1,5,Research Scientist,3,0,0,0.6931471805599453,0.0,0.0,Yes,4,3,2,3,Yes,0
862,44,Non-Travel,111,Research & Development,17,3,Life Sciences,1,1206,Male,74,1,Single,2290,4279,Y,13,4,80,0,3,Research Scientist,3,0,0,1.9459101490553132,0.0,0.0,No,3,4,1,3,No,2
863,33,Travel_Rarely,147,Human Resources,2,3,Human Resources,1,1207,Male,99,1,Married,3600,8429,Y,13,4,80,1,2,Human Resources,3,4,4,1.791759469228055,1.791759469228055,0.6931471805599453,No,3,2,3,3,No,1
